Name,Category,Phone,Website,Description,Cost
National Suicide Prevention Lifeline,Crisis,988,suicidepreventionlifeline.org,24/7 free and confidential support for people in distress,Free
Crisis Text Line,Crisis,741741,crisistextline.org,Text HOME to 741741 for free 24/7 crisis support,Free
NAMI Helpline,Information,1-800-950-6264,nami.org,Free mental health information and support,Free
SAMHSA National Helpline,Information,1-800-662-4357,samhsa.gov,Free 24/7 treatment referral and information service,Free
The Trevor Project,Crisis,1-866-488-7386,thetrevorproject.org,Crisis support for LGBTQ+ youth,Free
Veterans Crisis Line,Crisis,988,veteranscrisisline.net,Press 1 after dialing 988 for veteran support,Free
Therapy for Black Girls,Therapy,N/A,therapyforblackgirls.com,Directory of therapists for Black women and girls,Varies
Psychology Today Therapist Finder,Therapy,N/A,psychologytoday.com,Find therapists by location and specialty,Varies
BetterHelp,Online Resource,N/A,betterhelp.com,Online therapy and counseling,Paid
Talkspace,Online Resource,N/A,talkspace.com,Online therapy via text and video,Paid
7 Cups,Online Resource,N/A,7cups.com,Free emotional support and online therapy,Free/Paid
Mental Health America,Information,N/A,mhanational.org,Mental health resources and advocacy,Free
Anxiety and Depression Association,Information,N/A,adaa.org,Resources for anxiety and depression,Free
Depression and Bipolar Support Alliance,Support Group,N/A,dbsalliance.org,Peer support groups and resources,Free
SMART Recovery,Support Group,N/A,smartrecovery.org,Support groups for addiction recovery,Free
